ZIP,Mean_Income,Estimated PV System Size (kWdc),PV System Size (kWac),Estimated Annual PV Energy Production (kWh)
10703,101248,2269.14,1935.1,2663518
10704,103643,3810.71,3240.03,4472976
10705,86964,1877.82,1603.59,2204190
10706,249233,1149.6,982.63,1349503
10707,161729,1000.7,850.39,1174633
10708,200279,641.35,548.15,752814
10709,179292,996.52,851.8,1169790
10710,110989,4745.55,4045.27,5570373
10801,107913,3263.27,2676.08,3830416
10803,265346,2130.83,1812.94,2501149
10804,269128,1973.38,1686.71,2316409
10805,109787,1401.83,1187.19,1645468
10901,129585,3946.82,3229.47,4632908
10913,180662,1105.29,944.76,1297461
10914,95322,929.77,794.68,1091390
10916,123648,8459.99,6332.06,9930674
10917,169087,1208.98,1022.34,1419160
10918,140170,12807.0,9938.08,15033408
10919,111105,573.77,487.89,673528
10920,161536,2178.06,1860.45,2556810
10921,116670,4400.66,3394.71,5165637
10922,106819,191.11,163.35,224338
10923,113768,2604.66,2225.25,3057448
10924,130740,16450.45,12518.46,19310120
10925,99375,805.86,687.69,945957
10926,102488,1259.78,1066.12,1478747
10927,91679,971.78,828.32,1140691
10928,104460,516.33,440.48,606107
10930,142000,2240.15,1914.7,2629562
10931,103147,123.43,105.49,144878
10933,87859,2945.04,2158.15,3456999
10940,91123,27871.18,21477.22,32716125
10941,104451,12319.1,9413.43,14460718
10950,100580,10064.75,8300.27,11814540
10952,90782,1836.54,1569.71,2155782
10954,152149,4259.45,3629.66,4999939
10956,179580,8429.36,7197.52,9894804
10958,135459,10701.9,7962.14,12562302
10960,158882,2076.53,1764.55,2437445
10962,167283,2249.59,1784.61,2640631
10963,114646,7690.29,5674.8,9027191
10964,225855,200.27,171.18,235102
10965,142783,2247.82,1911.59,2638460
10968,147570,213.56,182.52,250672
10969,148459,689.59,585.88,809452
10970,125421,1337.21,1142.2,1569664
10973,137538,1321.33,1123.6,1551029
10974,124825,592.07,506.03,694962
10975,97127,5.03,4.3,5906
10976,104247,204.47,174.77,240020
10977,95111,5190.27,4430.69,6092518
10980,129227,4517.79,3849.51,5303142
10983,167146,1207.82,1031.89,1417805
10984,170826,1042.08,889.06,1223244
10985,113373,245.33,209.69,287974
10986,179572,2004.66,1511.47,2353144
10987,272459,341.73,291.35,401119
10988,102598,133.16,113.81,156300
10989,133893,2639.34,2253.03,3098224
10990,139567,11747.85,9447.32,13790048
10992,123481,9101.32,7059.82,10683563
10993,81658,535.39,456.49,628472
10994,182262,7134.3,5390.58,8374531
10998,118682,23914.45,17540.1,28071742
11001,156286,2691.3,2294.58,3159032
11003,128947,9085.97,7761.07,10665266
11004,121062,1848.25,1577.39,2169420
11010,142082,4415.01,3765.47,5182584
11020,222719,656.93,561.47,771121
11021,170466,664.02,565.54,779456
11023,206167,687.71,587.74,807201
11024,197790,271.05,231.67,318175
11030,356446,994.91,846.86,1167894
11040,166900,9376.28,7981.54,11006142
11050,212987,5230.0,4317.66,6139269
11096,89149,935.16,797.41,1097728
11101,130719,4834.54,3945.89,5674938
11102,114216,413.5,351.05,485345
11103,115803,776.8,657.46,911762
11104,96642,566.36,477.75,664791
11105,112815,1208.29,1024.24,1418253
11106,100232,823.87,697.48,967069
11201,213208,582.91,494.04,684214
11203,80141,4394.41,3751.06,5157890
11204,79120,1220.37,1035.98,1432477
11205,114380,416.28,355.75,488573
11206,77433,452.58,384.15,531264
11207,63245,8109.02,6691.67,9518634
